datetime,station_id,station_name,latitude,longitude,district,PM25,PM10,SO2,NO2,O3,CO,AQI,temperature,humidity,wind_speed,wind_direction,precipitation,pressure,data_mode
2026-08-06 03:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,23.6,33.3,12.9,28.2,61.4,0.95,34,21.6,63.1,2.8,252.5,0.0,1007.7,DEMO
2026-08-06 04:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,21.8,33.8,9.5,31.5,50.9,0.81,31,17.8,49.3,3.1,300.5,3.5,1016.1,DEMO
2026-08-06 04:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,31.5,46.4,15.3,35.8,36.0,0.91,45,23.8,44.2,2.3,57.0,0.0,1010.4,DEMO
2026-08-06 04:00:00,HHHT003,呼市一监,40.81,111.67,回民区,36.1,46.5,11.2,42.5,65.1,0.86,51,24.3,34.0,0.4,159.6,0.0,1018.5,DEMO
2026-08-06 04:00:00,HHHT004,小召前街,40.805,111.665,回民区,41.3,54.3,14.4,27.3,46.3,1.07,58,25.6,39.2,4.7,354.0,0.0,1006.3,DEMO
2026-08-06 04:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,24.8,31.1,15.7,33.3,65.8,0.6,35,19.9,49.4,3.3,73.2,0.0,1009.5,DEMO
2026-08-06 04:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,17.0,22.1,15.1,39.4,51.5,0.82,24,28.0,40.0,0.4,212.9,0.0,1014.7,DEMO
2026-08-06 05:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,20.1,26.4,12.8,30.9,61.5,0.7,29,24.6,34.8,2.2,131.1,0.0,1011.7,DEMO
2026-08-06 05:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,26.8,39.2,12.9,35.8,45.1,0.78,38,20.7,54.7,4.6,126.4,0.0,1015.8,DEMO
2026-08-06 05:00:00,HHHT003,呼市一监,40.81,111.67,回民区,38.1,56.3,12.2,30.6,50.2,0.9,54,20.3,64.8,3.7,275.7,0.0,1007.2,DEMO
2026-08-06 05:00:00,HHHT004,小召前街,40.805,111.665,回民区,43.1,63.6,14.7,40.0,45.1,1.05,60,22.8,51.3,1.5,180.7,0.0,1014.4,DEMO
2026-08-06 05:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,28.8,44.1,14.0,36.8,35.5,0.9,41,20.1,43.7,1.1,330.7,1.7,1010.2,DEMO
2026-08-06 05:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,18.9,27.1,13.1,30.4,49.0,0.7,27,21.8,46.8,2.2,286.5,0.0,1013.1,DEMO
2026-08-06 06:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,34.6,50.1,6.0,25.8,34.7,0.74,49,19.3,55.4,3.2,181.7,0.0,1007.2,DEMO
2026-08-06 06:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,34.0,46.6,13.6,28.1,56.9,0.76,49,26.0,34.5,3.6,245.6,0.0,1006.8,DEMO
2026-08-06 06:00:00,HHHT003,呼市一监,40.81,111.67,回民区,37.9,50.4,13.5,31.0,51.9,1.06,54,24.3,45.9,3.3,235.3,0.0,1015.8,DEMO
2026-08-06 06:00:00,HHHT004,小召前街,40.805,111.665,回民区,39.7,65.1,12.3,40.2,34.5,0.98,56,16.3,52.9,2.0,331.3,1.5,1008.1,DEMO
2026-08-06 06:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,36.8,60.0,12.9,31.7,51.4,1.05,52,24.4,31.1,0.4,139.4,1.4,1010.2,DEMO
2026-08-06 06:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,20.7,28.0,12.4,30.3,51.8,0.73,30,21.5,47.9,2.5,118.1,0.0,1010.3,DEMO
2026-08-06 07:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,27.8,43.9,8.0,33.0,51.0,0.9,40,26.5,38.2,3.5,234.1,2.2,1015.7,DEMO
2026-08-06 07:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,45.7,59.3,16.0,22.6,50.1,1.07,63,22.2,31.6,3.1,98.5,0.0,1016.2,DEMO
2026-08-06 07:00:00,HHHT003,呼市一监,40.81,111.67,回民区,34.4,58.1,17.7,41.0,53.9,0.91,49,25.6,56.3,0.8,182.8,1.3,1007.6,DEMO
2026-08-06 07:00:00,HHHT004,小召前街,40.805,111.665,回民区,36.1,46.0,14.6,26.9,35.2,0.85,51,20.5,43.2,2.8,341.7,0.0,1010.8,DEMO
2026-08-06 07:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,36.0,48.1,9.3,38.8,66.7,1.04,51,24.6,38.1,3.9,236.8,0.0,1015.0,DEMO
2026-08-06 07:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,23.4,32.4,10.0,40.5,53.1,0.78,33,21.3,15.9,2.7,39.1,0.0,1008.9,DEMO
2026-08-06 08:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,46.3,64.9,14.8,34.1,52.5,0.92,64,25.4,49.2,4.0,316.9,0.0,1013.1,DEMO
2026-08-06 08:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,40.4,51.4,13.4,34.8,41.0,0.93,57,29.3,39.0,2.5,196.7,0.0,1005.9,DEMO
2026-08-06 08:00:00,HHHT003,呼市一监,40.81,111.67,回民区,44.4,58.8,12.6,29.7,41.4,0.93,62,26.5,51.8,2.2,137.5,0.0,1009.0,DEMO
2026-08-06 08:00:00,HHHT004,小召前街,40.805,111.665,回民区,57.8,80.0,15.0,39.0,43.0,1.09,79,22.5,55.7,2.5,51.6,0.0,1016.5,DEMO
2026-08-06 08:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,34.8,45.5,14.2,33.6,44.6,0.86,50,23.2,54.1,2.7,125.5,0.0,1006.2,DEMO
2026-08-06 08:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,28.6,39.1,11.6,27.6,53.4,1.05,41,24.7,37.0,3.9,36.0,0.0,1015.0,DEMO
2026-08-06 09:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,33.7,43.4,12.7,29.1,55.0,0.87,48,21.3,45.0,3.2,81.2,0.0,1006.4,DEMO
2026-08-06 09:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,39.1,58.5,12.5,37.4,60.8,0.79,55,16.4,46.3,1.5,94.8,0.0,1007.8,DEMO
2026-08-06 09:00:00,HHHT003,呼市一监,40.81,111.67,回民区,45.8,58.1,14.3,40.3,44.0,0.92,63,23.5,52.8,4.4,203.5,0.0,1010.3,DEMO
2026-08-06 09:00:00,HHHT004,小召前街,40.805,111.665,回民区,40.6,57.5,16.9,27.3,46.7,0.79,57,23.0,23.1,1.7,357.6,0.0,1010.4,DEMO
2026-08-06 09:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,42.9,59.7,15.6,33.8,45.2,0.8,60,26.7,41.4,3.1,109.0,0.0,1007.3,DEMO
2026-08-06 09:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,31.6,40.3,19.1,36.2,47.6,0.63,45,21.0,50.7,4.2,342.0,0.0,1007.5,DEMO
2026-08-06 10:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,30.0,42.4,12.5,35.2,41.6,0.77,43,18.6,47.9,3.3,120.0,0.0,1015.1,DEMO
2026-08-06 10:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,43.3,57.2,19.3,41.2,44.9,0.84,60,19.8,27.7,1.6,136.4,0.0,1010.6,DEMO
2026-08-06 10:00:00,HHHT003,呼市一监,40.81,111.67,回民区,44.3,62.6,13.4,29.7,52.6,1.04,62,21.2,15,2.5,113.3,0.0,1007.2,DEMO
2026-08-06 10:00:00,HHHT004,小召前街,40.805,111.665,回民区,37.1,47.5,17.9,36.5,48.7,0.9,53,17.7,39.6,0.3,258.8,0.0,1014.3,DEMO
2026-08-06 10:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,49.8,63.8,11.4,38.4,47.0,0.88,69,20.3,60.4,4.7,167.7,0.0,1017.7,DEMO
2026-08-06 10:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,11.8,17.3,14.2,27.0,48.7,0.72,17,25.2,42.2,2.1,282.8,0.0,1008.0,DEMO
2026-08-06 11:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,32.4,48.5,13.7,30.0,52.0,0.84,46,25.8,42.8,2.0,115.8,0.0,1007.8,DEMO
2026-08-06 11:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,38.5,55.5,18.7,32.2,62.0,0.86,54,20.0,65.3,3.5,258.9,0.0,1005.0,DEMO
2026-08-06 11:00:00,HHHT003,呼市一监,40.81,111.67,回民区,45.5,62.6,11.0,26.3,63.6,0.89,63,22.0,45.3,0.3,187.6,0.0,1005.8,DEMO
2026-08-06 11:00:00,HHHT004,小召前街,40.805,111.665,回民区,46.8,62.5,12.8,37.5,46.5,1.09,65,14.2,43.0,2.3,196.8,0.0,1005.7,DEMO
2026-08-06 11:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,30.4,38.2,15.3,39.0,83.6,0.68,43,15.9,48.9,4.7,308.1,0.0,1010.3,DEMO
2026-08-06 11:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,27.4,34.5,14.1,22.0,53.3,0.78,39,19.8,37.9,3.9,303.7,0.0,1013.6,DEMO
2026-08-06 12:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,31.2,43.9,20.2,33.3,64.8,0.94,45,24.9,68.8,2.2,289.7,0.0,1012.0,DEMO
2026-08-06 12:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,41.1,54.9,10.4,38.7,52.1,0.86,58,23.8,37.8,4.3,91.7,0.0,1013.4,DEMO
2026-08-06 12:00:00,HHHT003,呼市一监,40.81,111.67,回民区,33.1,46.1,13.5,37.1,70.6,0.84,47,25.9,48.9,3.8,308.1,0.0,1006.4,DEMO
2026-08-06 12:00:00,HHHT004,小召前街,40.805,111.665,回民区,40.6,53.6,15.3,34.3,47.7,0.84,57,15.5,53.2,4.4,304.0,0.0,1016.6,DEMO
2026-08-06 12:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,32.7,48.2,11.6,30.3,49.3,0.91,47,18.4,56.5,1.2,349.1,0.0,1014.8,DEMO
2026-08-06 12:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,28.9,40.0,18.3,29.1,51.7,0.82,41,14.2,53.0,3.3,30.3,0.0,1019.5,DEMO
2026-08-06 13:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,30.1,38.7,12.3,42.2,55.8,0.57,43,27.1,70.5,1.9,284.6,0.0,1013.3,DEMO
2026-08-06 13:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,34.9,49.4,8.9,35.3,51.3,0.92,50,17.7,49.1,4.4,29.0,0.0,1011.3,DEMO
2026-08-06 13:00:00,HHHT003,呼市一监,40.81,111.67,回民区,44.0,55.7,8.3,39.5,55.1,1.05,61,20.9,55.8,1.7,217.3,0.0,1015.2,DEMO
2026-08-06 13:00:00,HHHT004,小召前街,40.805,111.665,回民区,42.6,60.3,13.8,38.5,38.6,0.8,59,24.2,62.8,4.8,209.4,0.0,1015.2,DEMO
2026-08-06 13:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,39.9,50.2,16.4,30.3,73.2,0.86,56,26.0,23.5,3.6,72.0,0.0,1010.0,DEMO
2026-08-06 13:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,16.4,28.3,8.7,33.3,64.0,0.67,23,22.6,55.9,2.3,187.7,3.2,1007.8,DEMO
2026-08-06 14:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,35.7,46.5,19.7,35.5,56.6,0.94,51,24.1,66.4,4.0,52.1,0.0,1019.9,DEMO
2026-08-06 14:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,40.5,50.8,19.3,40.6,59.5,0.93,57,24.0,54.9,3.4,38.9,0.0,1015.5,DEMO
2026-08-06 14:00:00,HHHT003,呼市一监,40.81,111.67,回民区,32.2,54.7,13.8,31.3,39.2,0.9,46,18.6,47.7,1.4,204.9,3.2,1015.3,DEMO
2026-08-06 14:00:00,HHHT004,小召前街,40.805,111.665,回民区,38.9,55.2,7.4,34.5,59.4,0.95,55,19.0,47.2,3.2,83.6,0.0,1012.7,DEMO
2026-08-06 14:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,32.9,49.3,13.0,27.5,56.2,0.84,47,21.2,37.5,4.6,356.8,0.0,1015.5,DEMO
2026-08-06 14:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,19.3,25.8,10.0,32.0,63.1,0.84,28,19.9,38.3,3.0,234.7,0.0,1014.4,DEMO
2026-08-06 15:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,38.1,48.5,16.7,40.4,62.3,0.79,54,24.3,68.7,5.1,44.0,0.0,1008.7,DEMO
2026-08-06 15:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,38.2,54.7,17.9,23.7,56.3,0.83,54,22.0,62.2,1.8,256.4,0.0,1016.2,DEMO
2026-08-06 15:00:00,HHHT003,呼市一监,40.81,111.67,回民区,38.7,55.8,11.5,25.7,70.6,0.69,55,19.6,54.6,3.4,49.5,0.0,1007.7,DEMO
2026-08-06 15:00:00,HHHT004,小召前街,40.805,111.665,回民区,38.6,55.1,12.9,36.9,65.2,1.11,55,21.8,38.4,4.9,204.3,0.0,1012.3,DEMO
2026-08-06 15:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,39.6,51.6,15.3,29.9,49.5,1.03,56,23.0,67.7,4.1,98.9,0.0,1010.5,DEMO
2026-08-06 15:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,25.2,35.7,10.0,28.2,60.8,0.78,36,20.9,60.9,3.9,254.8,0.0,1018.6,DEMO
2026-08-06 16:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,28.4,35.8,15.9,26.9,66.4,0.83,41,22.4,29.5,4.7,118.1,0.0,1014.0,DEMO
2026-08-06 16:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,43.8,62.4,8.5,38.9,57.7,0.96,61,23.3,49.5,4.7,35.2,0.0,1010.5,DEMO
2026-08-06 16:00:00,HHHT003,呼市一监,40.81,111.67,回民区,51.7,72.0,11.6,34.4,58.0,1.03,71,19.0,59.3,2.9,339.5,0.0,1013.8,DEMO
2026-08-06 16:00:00,HHHT004,小召前街,40.805,111.665,回民区,36.4,50.8,10.8,30.4,57.4,0.86,52,23.3,45.4,3.3,120.5,0.0,1015.4,DEMO
2026-08-06 16:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,31.3,41.9,8.1,31.4,61.6,0.78,45,21.6,21.5,2.9,353.7,0.0,1013.8,DEMO
2026-08-06 16:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,34.0,48.9,13.9,27.3,50.2,0.99,49,22.5,41.5,2.5,324.8,0.0,1009.6,DEMO
2026-08-06 17:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,42.4,57.7,16.4,33.1,58.8,0.98,59,22.9,51.0,1.5,299.4,0.0,1010.7,DEMO
2026-08-06 17:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,47.5,65.3,10.7,29.7,51.7,1.03,66,24.5,59.9,4.8,311.5,0.0,1003.8,DEMO
2026-08-06 17:00:00,HHHT003,呼市一监,40.81,111.67,回民区,41.8,52.9,18.0,42.8,43.0,1.07,58,22.3,41.6,1.9,197.6,0.0,1013.4,DEMO
2026-08-06 17:00:00,HHHT004,小召前街,40.805,111.665,回民区,54.9,72.5,12.5,40.3,52.4,0.89,75,23.6,54.8,1.2,83.7,0.0,1007.9,DEMO
2026-08-06 17:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,48.3,68.4,11.0,43.7,43.9,1.1,67,26.7,44.8,3.7,331.5,0.0,1005.8,DEMO
2026-08-06 17:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,45.6,61.3,15.7,33.2,35.4,0.87,63,24.4,58.8,1.5,346.7,0.0,1005.4,DEMO
2026-08-06 18:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,28.3,38.0,15.3,33.7,60.3,0.79,40,23.3,37.2,2.7,304.0,0.0,1013.0,DEMO
2026-08-06 18:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,48.7,61.3,11.8,26.4,60.8,1.06,67,25.2,61.1,4.3,319.3,0.0,1014.9,DEMO
2026-08-06 18:00:00,HHHT003,呼市一监,40.81,111.67,回民区,46.3,62.6,12.3,33.3,43.3,1.0,64,24.8,55.2,0.5,151.4,0.0,1007.3,DEMO
2026-08-06 18:00:00,HHHT004,小召前街,40.805,111.665,回民区,53.2,79.1,18.0,31.9,47.7,1.01,73,23.5,36.7,3.1,47.9,0.0,1015.8,DEMO
2026-08-06 18:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,45.3,63.8,11.6,39.3,61.9,1.08,63,23.7,54.5,0.8,178.2,0.0,1010.5,DEMO
2026-08-06 18:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,42.8,55.9,11.5,39.0,52.1,0.97,60,15.3,44.6,3.3,184.9,0.0,1012.2,DEMO
2026-08-06 19:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,42.7,62.3,9.8,29.2,54.1,1.0,60,23.2,75.7,2.7,254.0,0.0,1011.3,DEMO
2026-08-06 19:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,43.8,63.8,9.6,36.4,45.9,0.9,61,24.0,48.9,2.6,128.4,0.0,1011.7,DEMO
2026-08-06 19:00:00,HHHT003,呼市一监,40.81,111.67,回民区,50.8,65.0,12.3,41.2,58.5,1.02,70,18.8,52.7,3.0,261.3,0.0,1014.6,DEMO
2026-08-06 19:00:00,HHHT004,小召前街,40.805,111.665,回民区,55.8,83.4,18.1,34.6,52.3,0.75,76,21.3,61.9,2.6,200.6,0.0,1011.5,DEMO
2026-08-06 19:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,32.5,40.7,10.9,34.0,49.9,0.72,46,21.7,56.7,3.2,96.0,0.0,1011.7,DEMO
2026-08-06 19:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,27.5,37.5,11.9,39.9,41.1,0.83,39,24.4,40.9,0.9,264.8,0.0,1010.7,DEMO
2026-08-06 20:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,36.4,53.9,12.9,18.5,44.7,0.87,52,22.8,49.0,3.2,281.1,0.0,1013.4,DEMO
2026-08-06 20:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,52.1,76.7,14.3,39.2,31.8,0.81,71,24.0,41.1,3.3,199.1,0.0,1019.1,DEMO
2026-08-06 20:00:00,HHHT003,呼市一监,40.81,111.67,回民区,51.3,65.2,11.2,28.3,42.1,0.99,70,17.4,55.2,2.0,256.9,0.0,1010.2,DEMO
2026-08-06 20:00:00,HHHT004,小召前街,40.805,111.665,回民区,46.5,68.2,7.9,36.2,72.1,0.93,64,21.5,56.9,1.1,87.0,0.0,1023.1,DEMO
2026-08-06 20:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,31.6,55.3,17.1,37.8,51.0,0.87,45,17.7,53.7,2.0,284.2,3.1,1009.4,DEMO
2026-08-06 20:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,37.2,53.7,10.6,32.1,46.1,0.78,53,24.7,36.9,1.4,140.8,0.0,1015.5,DEMO
2026-08-06 21:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,29.6,39.0,16.7,32.1,58.0,0.84,42,24.5,35.7,1.6,307.0,0.0,1010.0,DEMO
2026-08-06 21:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,40.4,57.4,15.5,34.8,44.4,0.9,57,20.8,55.9,0.3,340.9,0.0,1013.2,DEMO
2026-08-06 21:00:00,HHHT003,呼市一监,40.81,111.67,回民区,43.9,63.6,14.1,32.0,51.1,1.0,61,20.1,63.9,1.2,172.8,0.0,1017.0,DEMO
2026-08-06 21:00:00,HHHT004,小召前街,40.805,111.665,回民区,45.5,60.4,19.1,33.5,49.5,0.8,63,21.0,34.3,3.2,86.6,0.0,1010.9,DEMO
2026-08-06 21:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,42.7,57.1,10.5,40.7,46.6,0.89,60,23.4,31.2,2.5,99.9,0.0,1004.0,DEMO
2026-08-06 21:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,31.7,45.2,9.5,36.5,66.9,1.01,45,23.4,52.4,3.4,328.6,0.0,1007.3,DEMO
2026-08-06 22:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,27.3,37.6,19.6,37.9,58.4,0.94,39,25.5,42.4,2.8,202.9,0.0,1005.9,DEMO
2026-08-06 22:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,33.2,46.3,10.7,35.0,39.9,0.74,47,26.1,45.1,3.0,245.8,0.0,1014.9,DEMO
2026-08-06 22:00:00,HHHT003,呼市一监,40.81,111.67,回民区,34.5,49.1,14.8,32.6,58.9,0.92,49,22.6,26.2,5.8,152.5,0.0,1013.6,DEMO
2026-08-06 22:00:00,HHHT004,小召前街,40.805,111.665,回民区,52.1,66.8,12.0,25.4,56.2,0.97,71,27.2,30.0,2.2,149.3,0.0,1016.1,DEMO
2026-08-06 22:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,38.3,50.3,12.6,35.7,45.5,1.02,54,24.8,35.7,3.4,265.3,0.0,1012.4,DEMO
2026-08-06 22:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,19.2,26.5,15.0,32.6,51.5,0.73,27,29.2,46.6,2.1,57.6,0.0,1013.0,DEMO
2026-08-06 23:00:00,HHHT001,呼和浩特市环境监测中心站,40.8421,111.749,新城区,26.4,35.9,10.1,37.9,52.5,0.72,38,20.7,24.5,1.9,199.2,0.0,1009.6,DEMO
2026-08-06 23:00:00,HHHT002,如意开发区,40.825,111.8,赛罕区,38.6,57.7,13.3,29.8,46.7,1.01,54,22.2,54.4,4.1,142.1,0.0,1011.4,DEMO
2026-08-06 23:00:00,HHHT003,呼市一监,40.81,111.67,回民区,47.6,65.4,14.8,37.7,44.8,1.08,66,25.4,53.3,1.9,158.1,0.0,1008.2,DEMO
2026-08-06 23:00:00,HHHT004,小召前街,40.805,111.665,回民区,39.8,52.7,11.1,33.5,63.1,0.76,56,26.9,43.5,2.3,353.7,0.0,1010.7,DEMO
2026-08-06 23:00:00,HHHT005,二十九中,40.78,111.7,玉泉区,28.2,40.8,8.9,31.0,60.6,0.84,40,21.5,63.0,4.3,287.9,0.0,1013.4,DEMO
2026-08-06 23:00:00,HHHT006,工大金川校区,40.76,111.62,土默特左旗,16.1,22.6,13.7,36.6,49.3,0.72,23,24.0,30.7,2.9,139.6,0.0,1011.1,DEMO
